event,start,end,data_valid,comment
int,timestamp_iso, timestamp_iso,int,string
1,2023-05-08T00:00:00,2023-06-12T09:00:00,0,'drift'
2,2023-06-12T09:00:00,2023-06-12T09:00:01,1,'adding compressed air cleaning to the sensor'
3,2023-07-05T00:00:00,2023-07-10T08:00:00,0,'drift due to air cleaning problem'
