event,start,end,data_valid,comment
int,timestamp_iso,timestamp_iso,int,string
1,2023-05-15T08:00:00,2023-05-19T08:50:00,0,'window size set to 5 mm instead of 4 mm. Can be fixed by mutliplying the data by 4/5 (???)'
2,2033-06-12T18:00:00,2023-06-13T14:00:00,0,'Clog due to absence of air cleaning'
