wavelength,high_mean,low_mean,high_std,low_std,signature
400,0.06902134853267107,0.06178484799753963,0.01832460895250156,0.01700646460195129,0.007236500535131439
402,0.0736493633830232,0.0653485443202002,0.018968257345735838,0.017671590443498697,0.008300819062823012
404,0.07827730937312831,0.06859240264591827,0.01989108191472432,0.01874570612830725,0.009684906727210035
406,0.08250117256288217,0.07164608192731317,0.020571093266839504,0.01967939522250172,0.010855090635568998
408,0.08454966782554413,0.07343824474564718,0.02071682383740002,0.01997096480008503,0.011111423079896945
410,0.08496268720387513,0.07389546315943121,0.020721870662655538,0.019925219659489003,0.011067224044443921
412,0.08589343823098847,0.07466815693546079,0.020716699776857226,0.019905869559012777,0.011225281295527675
414,0.08814828364231407,0.0763609743507965,0.021332479242273137,0.02042207824135717,0.01178730929151757
416,0.08982523347599039,0.07770081181054853,0.02168374542550522,0.020654548912270917,0.012124421665441865
418,0.09077442282594989,0.07849444571847256,0.021989895152868786,0.02078590979407032,0.01227997710747733
420,0.0899757481437123,0.07812836807533569,0.021945732908340843,0.020470909120657074,0.011847380068376615
422,0.08760959525244433,0.0760453131852213,0.021804812173981163,0.020097639598591177,0.011564282067223028
424,0.08630150038171386,0.07487393404818926,0.02193528268447642,0.019987180417504233,0.011427566333524597
426,0.0852512305113503,0.07399207374164084,0.021960125048435166,0.019896633945794318,0.011259156769709469
428,0.08566953324921049,0.07414624869668182,0.02236586436027963,0.020117246022314503,0.01152328455252867
430,0.08547304727123237,0.07373226978035634,0.022578061799661223,0.02024712900441302,0.011740777490876028
432,0.08633601684620669,0.07427608144067255,0.02294935108955894,0.020504932357941076,0.012059935405534142
434,0.08692880259266768,0.07455764885804268,0.02324072220983701,0.020686663413093748,0.012371153734624996
436,0.08786260050566248,0.07515027975813113,0.023570065795485814,0.0209002487758015,0.012712320747531355
438,0.08915576308716726,0.07600814322266491,0.023965295362953956,0.021199187935432646,0.013147619864502344
440,0.08968488505256951,0.07619599538122566,0.024208857747614623,0.0213856771345069,0.013488889671343846
442,0.09101598045013216,0.07711307677466404,0.024598323476411707,0.021719525245153016,0.01390290367546812
444,0.09164036795484518,0.07748337614831803,0.024820943416093755,0.021916737743172692,0.014156991806527144
446,0.0929223225488796,0.07841198613310639,0.02513607503372986,0.02219816155132259,0.014510336415773206
448,0.09370654474861168,0.0789428904800679,0.025326019369357876,0.022384727206461355,0.014763654268543772
450,0.09440194830286576,0.07933322365372396,0.025556785843443078,0.022582733703286652,0.015068724649141801
452,0.09515691669614244,0.07978642493575461,0.025795936493043643,0.02278322520046028,0.015370491760387836
454,0.09595878100018435,0.08027223072042919,0.02597442302114951,0.022948476410397895,0.015686550279755157
456,0.0970884765823401,0.08109699014248073,0.026221694934154795,0.02317940284290183,0.01599148643985937
458,0.09776579245517109,0.08156540645161439,0.026397257863335185,0.023265821246989296,0.016200386003556694
460,0.09876975781712444,0.0822980963683205,0.026656730611711355,0.023456094252376422,0.016471661448803937
462,0.0991738918423901,0.08243782711055177,0.026844472538886846,0.023522809500854842,0.016736064731838335
464,0.1001238083035188,0.08311083364446012,0.027076952087318935,0.023688796690844418,0.017012974659058683
466,0.100964881109814,0.08367112505342865,0.027300632919030936,0.02384634487643155,0.017293756056385348
468,0.10154879544554975,0.08401041310415308,0.027492725066067456,0.023949375956150286,0.017538382341396666
470,0.10250589706594658,0.084679687650037,0.02776111992885668,0.024131674720732993,0.01782620941590958
472,0.10285145267145233,0.08482434762333728,0.027898209899335513,0.024263885142484204,0.018027105048115055
474,0.10380830317093453,0.08555289286230813,0.02813826601177329,0.02442944666590318,0.018255410308626402
476,0.1038995110437546,0.08552857107302048,0.028233910804392488,0.024462831987523963,0.01837093997073412
478,0.10448191602256765,0.08595529561965523,0.02836192951139571,0.02454415182997466,0.01852662040291242
480,0.1050582094369336,0.08636749605324025,0.028477264128547227,0.024626544996987996,0.018690713383693353
482,0.10538642617070876,0.08654380241229252,0.028645838688209108,0.02476133353654111,0.018842623758416235
484,0.10600762343025955,0.0869948998075482,0.02884295848036023,0.02492099436841107,0.01901272362271135
486,0.10626633744712112,0.08712716294469408,0.029004989012141914,0.024990279675247584,0.01913917450242704
488,0.1072932525503214,0.08791620093714274,0.029287649867935053,0.025186520541399224,0.019377051613178667
490,0.1078714455154247,0.08826665895070235,0.029553311010568756,0.025328930319311282,0.01960478656472235
492,0.10894757374696071,0.08906599022007909,0.02984155594053675,0.025552868068077435,0.019881583526881616
494,0.10984434106487506,0.08968157506869057,0.030137591831168688,0.025748010469450303,0.020162765996184495
496,0.11085810385016448,0.09034128984633272,0.03046406377823482,0.025965666028473697,0.020516814003831763
498,0.11198127275704199,0.09108325942276405,0.030803177934481868,0.02619933523614923,0.020898013334277946
500,0.11282765427746967,0.09163661916172254,0.031109550218598497,0.026374608682425586,0.02119103511574713
502,0.11419894392755116,0.09262095697414655,0.0314419808403546,0.026607525032311705,0.021577986953404613
504,0.1150737751570791,0.09308396785955587,0.03177214189518137,0.026795498305243685,0.02198980729752323
506,0.11628720858905227,0.09394410936060543,0.032090881353134204,0.02699885168441152,0.022343099228446836
508,0.11718494268940752,0.0945341550035908,0.03237956007924098,0.027169237951998965,0.022650787685816715
510,0.11812330058646713,0.09514665521655381,0.03265777829153707,0.027344233272065716,0.022976645369913312
512,0.11912692262418881,0.09579626495550761,0.032966710115392074,0.027547141632847078,0.0233306576686812
514,0.11989059725172341,0.09618633484945083,0.03328221744264994,0.027770187351092428,0.02370426240227258
516,0.12106662052705393,0.09702169712973517,0.033576518614266596,0.027991086703997352,0.024044923397318757
