index,timestamp_iso,pluvio2s_precipitation_mm,valid_data
131,2022-01-09T21:40:00,0.331,1
132,2022-01-09T21:50:00,0.276,1
133,2022-01-09T22:00:00,0.136,1
134,2022-01-09T22:10:00,0.03,1
135,2022-01-09T22:20:00,0.039,1
136,2022-01-09T22:30:00,0.053,1
137,2022-01-09T22:40:00,0.066,1
138,2022-01-09T22:50:00,0.159,1
139,2022-01-09T23:00:00,0.098,1
140,2022-01-09T23:10:00,0.115,1
141,2022-01-09T23:20:00,0.241,1
142,2022-01-09T23:30:00,0.611,1
143,2022-01-09T23:40:00,0.582,1
144,2022-01-09T23:50:00,0.509,1
145,2022-01-10T00:00:00,0.457,1
146,2022-01-10T00:10:00,0.291,1
147,2022-01-10T00:20:00,0.134,1
148,2022-01-10T00:30:00,0.067,1
149,2022-01-10T00:40:00,0.222,1
150,2022-01-10T00:50:00,0.218,1
151,2022-01-10T01:00:00,0.069,1
152,2022-01-10T02:00:00,0.075,1
153,2022-01-10T02:10:00,0.045,1
154,2022-01-10T02:20:00,0.209,1
155,2022-01-10T02:30:00,0.168,1
156,2022-01-10T02:40:00,0.078,1
157,2022-01-10T02:50:00,0.088,1
158,2022-01-10T03:00:00,0.403,1
159,2022-01-10T03:10:00,0.133,1
160,2022-01-10T03:20:00,0.067,1
161,2022-01-10T03:30:00,0.035,1
162,2022-01-10T03:40:00,0.06,1
163,2022-01-10T03:50:00,0.024,1
164,2022-01-10T19:10:00,0.168,1
165,2022-01-10T19:20:00,0.692,1
166,2022-01-10T19:30:00,0.238,1
167,2022-01-10T19:40:00,0.165,1
168,2022-01-20T04:40:00,0.076,1
169,2022-01-20T04:50:00,0.039,1
170,2022-01-20T05:00:00,0.101,1
171,2022-01-20T05:10:00,0.08,1
172,2022-01-20T05:20:00,0.08,1
173,2022-01-20T05:30:00,0.028,1
174,2022-01-20T05:40:00,0.064,1
175,2022-01-20T10:40:00,0.078,1
176,2022-01-20T11:00:00,0.035,1
177,2022-01-20T20:10:00,0.069,1
178,2022-01-20T20:20:00,0.034,1
179,2022-01-20T20:30:00,0.032,1
180,2022-01-25T06:50:00,0.038,1
181,2022-01-27T22:00:00,0.156,1
182,2022-01-27T22:10:00,0.342,1
183,2022-01-27T22:20:00,0.201,1
184,2022-01-27T22:30:00,0.18,1
185,2022-01-27T22:40:00,0.057,1
186,2022-01-27T22:50:00,0.173,1
187,2022-01-27T23:00:00,0.306,1
188,2022-01-27T23:10:00,0.416,1
189,2022-01-27T23:20:00,0.346,1
190,2022-01-27T23:30:00,0.133,1
191,2022-01-28T00:00:00,0.122,1
192,2022-01-28T00:10:00,0.065,1
193,2022-01-28T00:20:00,0.105,1
194,2022-01-28T02:20:00,0.055,1
195,2022-01-28T03:10:00,0.043,1
196,2022-01-28T03:20:00,0.049,1
